pair;round;nrTurns;success
142;1;1;true
142;2;1;true
142;3;1;true
142;4;1;false
142;5;1;true
143;0;7;true
143;1;3;false
143;2;1;true
143;3;1;true
143;4;7;false
143;5;4;true
144;0;4;true
144;1;3;false
144;2;1;false
144;3;1;true
144;4;1;false
144;5;7;true
145;0;2;true
145;1;3;true
145;2;2;true
145;3;1;true
145;4;1;true
145;5;7;true
146;0;7;true
146;1;4;true
146;2;3;true
146;3;2;true
146;4;1;false
146;5;1;false
147;0;2;true
147;1;2;false
147;2;1;true
147;3;1;true
147;4;1;true
147;5;1;true
148;0;3;true
148;1;7;false
148;2;7;true
148;3;5;false
148;4;1;false
148;5;1;true
149;0;2;true
149;1;1;false
149;2;1;true
149;3;1;true
149;4;1;true
149;5;1;true
150;0;2;true
150;1;5;true
150;2;1;true
150;3;2;true
150;4;7;false
150;5;7;true
151;0;2;true
151;1;1;true
151;2;1;false
151;3;1;true
151;4;1;true
151;5;1;false
152;0;2;true
152;1;1;true
152;2;1;true
152;3;1;true
152;4;1;true
152;5;1;true
153;0;3;true
153;1;1;true
153;2;2;true
153;3;2;false
153;4;1;true
153;5;1;true
154;0;2;true
154;1;1;true
154;2;1;false
154;3;1;true
154;4;1;false
154;5;1;false
155;0;2;true
155;1;1;true
155;2;7;true
155;3;7;true
155;4;6;false
155;5;1;false
156;0;3;true
156;1;2;true
156;2;7;false
156;3;7;true
156;4;4;false
156;5;1;false
157;0;3;false
157;1;2;true
157;2;7;true
157;3;7;true
157;4;4;false
157;5;1;false
158;0;3;true
158;1;2;true
158;2;1;true
158;3;5;true
158;4;1;true
158;5;7;true
159;0;5;true
159;1;1;true
159;2;7;false
159;3;7;true
159;4;3;false
159;5;1;true
160;0;5;true
160;1;1;true
160;2;1;true
160;3;1;true
160;4;1;true
160;5;1;false
161;0;7;false
161;1;1;true
161;2;7;true
161;3;7;false
161;4;1;false
161;5;1;true
162;0;7;true
162;1;7;true
162;2;7;true
162;3;3;false
162;4;1;false
162;5;1;false
163;0;5;true
163;1;7;false
163;2;7;true
163;3;4;false
163;4;1;true
163;5;1;false
164;0;3;true
164;1;7;false
164;2;7;false
164;3;5;false
164;4;1;true
164;5;1;false
165;0;2;true
165;1;1;true
165;2;1;true
165;3;1;true
165;4;1;true
165;5;1;false
166;0;2;true
166;1;1;true
166;2;1;true
166;3;1;true
166;4;1;true
166;5;4;true
167;0;3;true
167;1;1;true
167;2;3;true
167;3;1;true
167;4;7;false
167;5;7;true
168;0;3;true
168;1;1;true
168;2;1;true
168;3;1;true
168;4;7;true
168;5;7;true
169;0;7;false
169;1;7;true
169;2;7;false
169;3;1;false
169;4;1;true
169;5;1;false
170;0;7;false
170;1;7;true
170;2;7;true
170;3;1;true
170;4;2;false
170;5;1;false
171;0;4;true
171;1;1;true
171;2;7;false
171;3;7;false
171;4;4;false
171;5;1;false
172;0;7;true
172;1;1;true
172;2;3;true
172;3;1;true
172;4;2;true
172;5;1;true
173;0;2;true
173;1;1;false
173;2;1;true
173;3;1;true
173;4;1;false
173;5;1;true
174;0;4;true
174;1;2;false
174;2;1;true
174;3;1;false
174;4;7;false
174;5;7;true
175;0;5;true
175;1;1;false
175;2;6;false
175;3;5;false
175;4;1;true
175;5;1;true
176;0;7;false
176;1;7;false
176;2;7;false
176;3;1;false
176;4;1;false
176;5;1;false
177;0;2;true
177;1;1;true
177;2;1;false
177;3;1;false
177;4;1;false
177;5;1;true
178;0;2;true
178;1;1;true
178;2;1;true
178;3;1;true
178;4;1;false
178;5;1;false
179;0;4;false
179;1;2;false
179;2;1;true
179;3;7;false
179;4;2;true
179;5;1;true
180;0;2;true
180;1;7;false
180;2;7;true
180;3;6;false
180;4;1;false
180;5;1;false
181;0;4;true
181;1;1;false
181;2;7;false
181;3;1;true
181;4;1;true
181;5;1;true
182;0;3;true
182;1;1;true
182;2;2;true
182;3;7;false
182;4;7;true
182;5;4;false
183;0;4;true
183;1;1;false
183;2;1;false
183;3;1;true
183;4;7;false
183;5;6;true
184;0;4;true
184;1;1;true
184;2;2;true
184;3;1;true
184;4;1;true
184;5;7;false
185;0;6;false
185;1;4;false
185;2;7;true
185;3;1;true
185;4;6;true
185;5;1;true
186;0;3;true
186;1;5;false
186;2;1;true
186;3;1;true
186;4;2;false
186;5;7;false
187;0;3;true
187;1;7;false
187;2;7;false
187;3;5;true
187;4;1;false
187;5;1;false
188;0;3;true
188;1;1;true
188;2;1;false
188;3;2;true
188;4;1;true
188;5;2;false
189;0;2;true
189;1;1;true
189;2;1;true
189;3;2;true
189;4;1;false
189;5;1;true
190;0;7;false
190;1;7;false
190;2;7;false
190;3;1;false
190;4;1;false
190;5;1;false
191;0;7;true
191;1;7;false
191;2;7;false
191;3;1;false
191;4;1;false
191;5;1;true
192;0;7;false
192;1;7;true
192;2;7;false
192;3;1;true
192;4;1;false
192;5;1;false
193;0;3;true
193;1;4;true
193;2;1;true
193;3;1;true
193;4;1;true
193;5;1;false
194;0;5;true
194;1;7;true
194;2;7;false
194;3;3;true
194;4;1;false
194;5;1;false
195;0;7;false
195;1;7;true
195;2;6;false
195;3;2;false
195;4;1;true
195;5;1;true
196;0;2;true
196;1;1;true
196;2;1;false
196;3;1;false
196;4;1;false
196;5;1;true
197;0;4;true
197;1;7;true
197;2;1;true
197;3;1;true
197;4;1;true
197;5;6;true
198;0;4;true
198;1;3;false
198;2;1;false
198;3;7;true
198;4;7;true
198;5;2;false
199;0;2;true
199;1;1;true
199;2;7;true
199;3;7;true
199;4;6;false
199;5;1;false
200;0;3;false
200;1;1;true
200;2;2;true
200;3;1;true
200;4;2;true
200;5;1;true
201;0;5;true
201;1;1;true
201;2;1;true
201;3;1;true
201;4;2;true
201;5;1;true
202;0;2;true
202;1;1;true
202;2;1;false
202;3;1;true
202;4;1;false
202;5;1;true
203;0;2;true
203;1;1;true
203;2;1;true
203;3;1;true
203;4;1;true
203;5;1;true
204;0;2;true
204;1;1;true
204;2;1;true
204;3;1;true
204;4;1;true
204;5;1;true
205;0;7;true
205;1;7;true
205;2;7;true
205;3;1;true
205;4;1;false
205;5;1;false
206;0;7;true
206;1;5;false
206;2;7;true
206;3;3;true
206;4;1;false
206;5;1;true
207;0;3;true
207;1;7;true
207;2;7;false
207;3;6;false
207;4;1;false
207;5;1;false
208;0;7;true
208;1;7;true
208;2;7;true
208;3;1;false
208;4;1;false
208;5;1;false
209;0;3;false
209;1;7;true
209;2;7;false
209;3;5;false
209;4;1;true
209;5;1;false
210;0;2;true
210;1;2;true
210;2;1;true
210;3;7;false
210;4;7;false
210;5;5;false
211;0;7;true
211;1;7;false
211;2;7;false
211;3;1;false
211;4;1;false
211;5;1;false
212;0;7;true
212;1;7;false
212;2;7;false
212;3;1;false
212;4;1;true
212;5;1;false
213;0;7;false
213;1;2;false
213;2;3;true
213;3;7;true
213;4;4;false
213;5;1;true
214;0;7;false
214;1;7;true
214;2;7;true
214;3;1;false
214;4;1;false
214;5;1;true
215;0;4;true
215;1;1;false
215;2;1;true
215;3;1;true
215;4;1;true
215;5;1;true
216;0;3;true
216;1;2;false
216;2;2;true
216;3;1;true
216;4;7;false
216;5;7;true
217;0;2;true
217;1;7;false
217;2;7;false
217;3;6;false
217;4;1;false
217;5;1;true
218;0;6;true
218;1;1;true
218;2;5;true
218;3;1;true
218;4;1;true
218;5;1;true
219;0;7;false
219;1;1;false
219;2;1;true
219;3;1;true
219;4;1;true
219;5;1;true
220;0;2;true
220;1;1;true
220;2;1;true
220;3;1;false
220;4;1;true
220;5;1;false
221;0;2;true
221;1;1;false
221;2;1;true
221;3;1;true
221;4;1;true
221;5;1;true
222;0;2;true
222;1;1;true
222;2;1;false
222;3;1;true
222;4;1;true
222;5;1;true
223;0;3;true
223;1;1;true
223;2;7;false
223;3;7;true
223;4;5;false
223;5;1;false
224;0;2;true
224;1;5;true
224;2;1;true
224;3;1;false
224;4;3;true
224;5;7;true
225;0;4;false
225;1;2;true
225;2;3;true
225;3;7;true
225;4;7;false
225;5;2;false
226;0;2;true
226;1;6;false
226;2;1;false
226;3;2;true
226;4;1;true
226;5;1;true
227;0;4;true
227;1;2;true
227;2;7;false
227;3;7;false
227;4;3;false
227;5;1;true
228;0;4;true
228;1;7;true
228;2;7;true
228;3;4;false
228;4;1;true
228;5;1;false
229;0;7;true
229;1;7;true
229;2;7;true
229;3;3;true
229;4;1;true
229;5;1;true
230;0;2;false
230;1;1;true
230;2;1;true
230;3;1;false
230;4;1;true
230;5;2;true
231;0;2;true
231;1;1;true
231;2;1;true
231;3;1;true
231;4;1;true
231;5;1;true
232;0;2;true
232;1;1;true
232;2;1;false
232;3;1;true
232;4;1;true
232;5;1;true
233;0;6;true
233;1;1;true
233;2;7;false
233;3;7;true
233;4;2;false
233;5;1;false
234;0;7;false
234;1;7;false
234;2;1;true
234;3;2;false
234;4;1;false
234;5;6;false
235;0;3;true
235;1;2;true
235;2;7;true
235;3;7;true
235;4;4;false
235;5;1;false
236;0;2;true
236;1;1;true
236;2;1;false
236;3;1;false
236;4;1;true
236;5;1;true
237;0;4;true
237;1;1;false
237;2;1;true
237;3;2;true
237;4;7;true
237;5;7;false
238;0;7;false
238;1;1;true
238;2;7;true
238;3;7;false
238;4;1;true
238;5;1;true
239;0;7;false
239;1;7;true
239;2;7;true
239;3;1;false
239;4;1;true
239;5;1;true
240;0;4;true
240;1;2;true
240;2;1;true
240;3;1;true
240;4;1;true
240;5;7;false
241;0;7;false
241;1;1;true
241;2;1;true
241;3;1;true
241;4;1;true
241;5;1;true
242;0;3;true
242;1;3;true
242;2;4;false
242;3;7;true
242;4;6;false
242;5;1;false
243;0;4;true
243;1;1;true
243;2;1;true
243;3;6;true
243;4;2;false
243;5;1;true
244;0;6;true
244;1;1;true
244;2;7;true
244;3;7;false
244;4;2;false
244;5;1;false
245;0;2;true
245;1;7;false
245;2;7;false
245;3;6;false
245;4;1;false
245;5;1;false
246;0;4;true
246;1;7;true
246;2;7;false
246;3;4;true
246;4;1;true
246;5;1;false
247;0;3;true
247;1;2;true
247;2;2;false
247;3;1;true
247;4;1;false
247;5;1;false
248;0;3;true
248;1;1;true
248;2;1;true
248;3;1;true
248;4;4;true
248;5;1;true
249;0;5;true
249;1;1;true
249;2;2;true
249;3;7;false
249;4;7;false
249;5;2;true
250;0;2;true
250;1;2;true
250;2;7;false
250;3;7;false
250;4;5;false
250;5;1;true
251;0;2;true
251;1;7;false
251;2;1;true
251;3;1;true
251;4;3;false
251;5;3;true
252;0;7;false
252;1;7;true
252;2;7;false
252;3;1;false
252;4;1;false
252;5;1;false
253;0;2;true
253;1;1;false
253;2;1;false
253;3;1;false
253;4;1;true
253;5;1;true
254;0;2;true
254;1;2;true
254;2;1;true
